               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039257,            0.028763,           0.0026552,            0.011001,             0.52745,            0.016321,             0.01186,            0.045244,            0.031351,             0.22051,             0.00307,             0.00307,             0.00307
                  37,             0.03825,            0.029103,           0.0025351,            0.010184,             0.55574,             0.01657,            0.010933,            0.046329,            0.031102,              0.2255,            0.002872,            0.002872,            0.002872
                  38,            0.037682,            0.029577,           0.0025043,            0.010713,             0.54293,            0.016902,            0.011304,            0.048816,            0.031754,             0.22257,            0.002674,            0.002674,            0.002674
                  39,             0.03726,            0.028193,           0.0024088,             0.01116,             0.52671,             0.01781,            0.012203,            0.045997,            0.032104,             0.22566,            0.002476,            0.002476,            0.002476
                  40,            0.037647,            0.028484,            0.002283,            0.011127,              0.4923,            0.016898,            0.011462,            0.048889,            0.033108,             0.22798,            0.002278,            0.002278,            0.002278
                  41,            0.036682,             0.02848,           0.0021829,            0.011277,             0.50941,            0.017186,              0.0124,            0.045874,            0.032715,             0.23388,             0.00208,             0.00208,             0.00208
                  42,            0.036961,            0.029175,           0.0020835,            0.011135,             0.50665,            0.016566,            0.011911,            0.046975,            0.033132,              0.2384,            0.001882,            0.001882,            0.001882
                  43,            0.036776,            0.029868,           0.0020027,            0.011235,              0.5219,            0.016712,            0.012032,             0.04621,            0.031984,             0.24225,            0.001684,            0.001684,            0.001684
                  44,            0.036358,            0.029396,            0.001904,            0.011101,             0.48237,             0.01613,            0.011529,            0.048066,            0.033553,             0.24338,            0.001486,            0.001486,            0.001486
                  45,            0.035396,            0.027655,           0.0018309,            0.011164,             0.49202,            0.017035,            0.012445,            0.046536,            0.032822,             0.24989,            0.001288,            0.001288,            0.001288
                  46,            0.035721,            0.028376,           0.0017251,            0.010994,              0.4757,            0.016103,            0.011599,            0.048317,            0.033156,             0.25531,             0.00109,             0.00109,             0.00109
                  47,            0.035236,            0.030317,           0.0016404,            0.011283,             0.48658,            0.016059,            0.011416,            0.048053,            0.032812,              0.2604,            0.000892,            0.000892,            0.000892
                  48,            0.034716,              0.0276,           0.0015661,            0.011208,             0.49335,            0.016406,            0.011756,            0.046686,            0.032605,             0.26757,            0.000694,            0.000694,            0.000694
                  49,            0.034613,            0.028635,           0.0015127,            0.011188,             0.50081,            0.015924,             0.01135,            0.046209,            0.033069,             0.27126,            0.000496,            0.000496,            0.000496
